time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_meas1,tau_meas2
0.000000000000000000e+00,2.876213984563946724e-04,7.669904152862727642e-04,5.777893587946891785e-02,1.038162633776664734e-01,3.335016299388371408e-05,-9.918539581121876836e-05
3.334045410156250000e-03,1.438106992281973362e-04,1.533980830572545528e-03,1.982425525784492493e-02,6.031786203384399414e-01,-4.959512734785676003e-04,1.281860313611105084e-04
6.667852401733398438e-03,-4.793690095539204776e-05,0.000000000000000000e+00,-3.056033328175544739e-02,-2.184748351573944092e-01,3.181513748131692410e-04,-8.815043111098930240e-05
1.000142097473144531e-02,9.587380191078409553e-05,1.150485593825578690e-03,3.674942301586270332e-03,4.034228920936584473e-01,-3.410593490116298199e-04,1.316035049967467785e-04
1.333498954772949219e-02,1.438106992281973362e-04,3.834952076431363821e-04,1.429556496441364288e-02,4.406123608350753784e-02,-3.845022365567274392e-05,-3.790076298173516989e-04
1.666855812072753906e-02,4.793690095539204776e-05,1.150485593825578690e-03,-9.934185072779655457e-03,4.069966673851013184e-01,-1.889646082418039441e-04,-3.061917668674141169e-04
2.000188827514648438e-02,-1.438106992281973362e-04,7.669904152862727642e-04,-5.305853858590126038e-02,1.541068851947784424e-01,-3.275782219134271145e-04,-8.171139634214341640e-04
2.333521842956542969e-02,2.876213984563946724e-04,1.150485593825578690e-03,4.919783025979995728e-02,3.023238182067871094e-01,-4.933590389555320144e-05,5.384066753322258592e-05
2.666854858398437500e-02,1.438106992281973362e-04,1.533980830572545528e-03,7.687730249017477036e-03,5.719979405403137207e-01,1.318532013101503253e-04,-4.222141869831830263e-04
3.000187873840332031e-02,2.396845084149390459e-04,-3.834952076431363821e-04,1.814724504947662354e-02,-3.017369806766510010e-01,-7.955226465128362179e-05,-1.021890398078539874e-06
3.333520889282226562e-02,3.834952076431363821e-04,7.669904152862727642e-04,4.608958959579467773e-02,3.388995528221130371e-01,-2.973141090478748083e-04,-5.014565540477633476e-04
3.666877746582031250e-02,4.793690095539204776e-05,-3.834952076431363821e-04,-4.082004725933074951e-02,-2.124483436346054077e-01,-1.504408428445458412e-04,-4.240975540596991777e-04
4.000210762023925781e-02,3.355583176016807556e-04,3.834952076431363821e-04,2.998135052621364594e-02,3.036514520645141602e-01,-2.868215960916131735e-04,7.558274664916098118e-04
4.333543777465820312e-02,1.438106992281973362e-04,3.834952076431363821e-04,-1.141704432666301727e-02,1.291258633136749268e-01,-3.175156307406723499e-04,-3.385207965038716793e-04
4.666876792907714844e-02,4.793690095539204776e-05,3.834952076431363821e-04,-2.427064627408981323e-02,2.790217986330389977e-03,1.924244425026699901e-04,4.279557324480265379e-04
5.000209808349609375e-02,0.000000000000000000e+00,1.150485593825578690e-03,-2.512810379266738892e-02,3.511239588260650635e-01,-3.440295695327222347e-04,-8.522126590833067894e-04
5.333542823791503906e-02,9.587380191078409553e-05,7.669904152862727642e-04,1.112876739352941513e-02,-1.749601401388645172e-02,8.484230056637898088e-05,-8.803043601801618934e-05
5.666899681091308594e-02,-5.752427969127893448e-04,1.150485593825578690e-03,-1.434131413698196411e-01,2.206529080867767334e-01,-9.324874554295092821e-05,-7.098381320247426629e-05
6.000232696533203125e-02,4.793690095539204776e-05,7.669904152862727642e-04,7.776326965540647507e-03,8.016395568847656250e-02,-1.455945166526362300e-04,-3.049208025913685560e-04
6.333565711975097656e-02,-9.587380191078409553e-05,7.669904152862727642e-04,-3.363591805100440979e-02,1.096378788352012634e-01,-1.235002273460850120e-04,2.764571690931916237e-04
6.666898727416992188e-02,2.396845084149390459e-04,-3.834952076431363821e-04,3.779888525605201721e-02,-3.341681063175201416e-01,7.867289241403341293e-04,-4.057628975715488195e-04
7.000231742858886719e-02,-1.438106992281973362e-04,3.834952076431363821e-04,-7.232799381017684937e-02,8.008301258087158203e-02,-3.024772740900516510e-04,6.402681174222379923e-05
7.333564758300781250e-02,2.876213984563946724e-04,-3.834952076431363821e-04,2.354487404227256775e-02,-1.587841808795928955e-01,8.668702503200620413e-05,-4.576881474349647760e-04
7.666897773742675781e-02,5.752427969127893448e-04,3.834952076431363821e-04,8.594953268766403198e-02,1.834210753440856934e-01,-2.476154186297208071e-04,8.471249020658433437e-04
8.000230789184570312e-02,2.396845084149390459e-04,7.669904152862727642e-04,3.235202049836516380e-03,2.997626066207885742e-01,4.404279752634465694e-04,-9.159844194073230028e-05
8.333563804626464844e-02,3.355583176016807556e-04,0.000000000000000000e+00,3.098964318633079529e-02,-9.965532273054122925e-02,-1.586021535331383348e-04,9.223294910043478012e-05
8.667325973510742188e-02,1.917476038215681911e-04,3.834952076431363821e-04,3.073691623285412788e-03,-2.596029452979564667e-02,7.190478208940476179e-05,-9.429991041542962193e-05
9.000658988952636719e-02,-1.917476038215681911e-04,1.150485593825578690e-03,-7.942529022693634033e-02,3.836635351181030273e-01,4.755003319587558508e-04,-2.691296976990997791e-04
9.333992004394531250e-02,4.793690095539204776e-05,1.150485593825578690e-03,-1.353894826024770737e-02,2.388644069433212280e-01,-1.358232984784990549e-04,3.697220818139612675e-04
9.667325019836425781e-02,-3.355583176016807556e-04,1.533980830572545528e-03,-4.847412556409835815e-02,2.754318714141845703e-01,-1.563710247864946723e-04,-4.926669062115252018e-04
1.000068187713623047e-01,0.000000000000000000e+00,1.150485593825578690e-03,-1.354708243161439896e-02,2.934658825397491455e-01,-5.244080239208415151e-05,-8.352725417353212833e-04
1.033401489257812500e-01,2.876213984563946724e-04,7.669904152862727642e-04,4.849354922771453857e-02,5.501060187816619873e-02,-1.298898860113695264e-04,-1.678538246778771281e-04
1.066734790802001953e-01,2.876213984563946724e-04,0.000000000000000000e+00,3.819504380226135254e-02,-2.038708776235580444e-01,3.277219948358833790e-04,-2.747589605860412121e-04
1.100070476531982422e-01,1.917476038215681911e-04,-3.834952076431363821e-04,1.143371220678091049e-03,-2.097356319427490234e-01,-2.702491765376180410e-04,6.773542554583400488e-05
1.133403778076171875e-01,9.587380191078409553e-05,-1.150485593825578690e-03,-2.924154698848724365e-02,-4.732942879199981689e-01,-1.752739990479312837e-05,8.286348747787997127e-05
1.166737079620361328e-01,2.396845084149390459e-04,-3.834952076431363821e-04,-3.481522668153047562e-03,-7.302621752023696899e-02,9.723557013785466552e-06,-1.404157810611650348e-04
1.200070381164550781e-01,0.000000000000000000e+00,-3.834952076431363821e-04,-6.021605432033538818e-02,-1.709696650505065918e-01,-1.671638165134936571e-05,-1.891606661956757307e-04
1.233403682708740234e-01,1.438106992281973362e-04,0.000000000000000000e+00,-1.848862133920192719e-02,-5.203085392713546753e-02,1.060741196852177382e-04,-3.281655954197049141e-04
1.266739368438720703e-01,1.438106992281973362e-04,0.000000000000000000e+00,-3.825276391580700874e-03,-2.499019503593444824e-01,-4.334227705840021372e-04,-2.769479760900139809e-04
1.300072669982910156e-01,-4.793690095539204776e-05,3.834952076431363821e-04,-1.390951499342918396e-02,-2.483523786067962646e-01,2.242563205072656274e-04,-8.222113247029483318e-04
